Application Number,Program Administrator,Program,Incentive Design,Incentive Type,Incentive Step,Incentive Amount,Total Cost,Nameplate Rating,CEC PTC Rating,Design Factor,CSI Rating,Current Incentive Application Status,Cancellation Reason,Host Customer NAICS Code,System Owner Sector,System Owner NAICS Code,Host Customer Sector,Host Customer Physical Address City,Host Customer Physical Address County,Host Customer Physical Address State,Host Customer Physical Zip Code,First New Reservation Request Date,First Online Reservation Request Submitted Date,First Reservation Request Review Date,First Pending RFP Date,First RFP Review (Gov't/Non-Profit only) Date,First Suspended - RFP Review Date,First Reservation Reserved Date,First Online Proof of Project Milestones Submitted Date,First Proof of Project Milestones Review Date,First Suspended - Milestone Review Date,First Suspended - Reservation Review Date,First Confirmed Reservation Date,First Online Incentive Claim Request Submitted Date,First Incentive Claim Request Review Date,First Suspended - Incentive Claim Request Review Date,First Pending Payment Date,First PBI - In Payment Date,First Completed Date,First Withdrawn Date,First Cancelled Date,First Site Transferred Date,First System Removed Date,Solar Contractor Company Name,Contractor License Number,Seller Company Name,3rd Party Owner,PV Module#1 Manufacturer,PV Module#2 Manufacturer,PV Module#3 Manufacturer,PV Module#4 Manufacturer,PV Module#5 Manufacturer,PV Module#6 Manufacturer,PV Module#7 Manufacturer,PV Module#8 Manufacturer,PV Module#9 Manufacturer,PV Module#1 Model,PV Module#2 Model,PV Module#3 Model,PV Module#4 Model,PV Module#5 Model,PV Module#6 Model,PV Module#7 Model,PV Module#8 Model,PV Module#9 Model,PV Module#1 Quantity,PV Module#2 Quantity,PV Module#3 Quantity,PV Module#4 Quantity,PV Module#5 Quantity,PV Module#6 Quantity,PV Module#7 Quantity,PV Module#8 Quantity,PV Module#9 Quantity,Inverter#1 Manufacturer,Inverter#2 Manufacturer,Inverter#3 Manufacturer,Inverter#4 Manufacturer,Inverter#5 Manufacturer,Inverter#6 Manufacturer,Inverter#7 Manufacturer,Inverter#8 Manufacturer,Inverter#9 Manufacturer,Inverter#10 Manufacturer,Inverter#1 Model,Inverter#2 Model,Inverter#3 Model,Inverter#4 Model,Inverter#5 Model,Inverter#6 Model,Inverter#7 Model,Inverter#8 Model,Inverter#9 Model,Inverter#10 Model,Inverter#1 Quantity,Inverter#2 Quantity,Inverter#3 Quantity,Inverter#4 Quantity,Inverter#5 Quantity,Inverter#6 Quantity,Inverter#7 Quantity,Inverter#8 Quantity,Inverter#9 Quantity,Inverter#10 Quantity,Installed Status,Completed/PBI-In Payment Status,Performance Monitoring Provider,PDP Provider,CSI Project Azimuth,CSI Project Tilt,Tracking Type,CEC PTC Rating Fixed,CEC PTC Rating Single-Axis Tracking,CEC PTC Rating Dual-Axis Tracking,CSI Rating Fixed,CSI Rating Single-Axis Tracking,CSI Rating Dual-Axis Tracking,MASH Track 1A Incentive Amount,MASH Track 1B Incentive Amount,MASH Track 2 Incentive Amount,MASH Track 1A % Capacity,MASH Track 1B % Capacity
SD-CSI-03719,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,7239,38242,6,5.074,0.92039,4.67,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,9/15/2009,9/15/2009,9/18/2009,,,,,,,,9/21/2009,9/22/2009,,10/29/2009,,12/4/2009,,12/22/2009,,,,,"Solar West Electric, Inc.",911299,"Solar West Electric, Inc.",no,Canadian Solar,,,,,,,,,CS6P-200PE,,,,,,,,,30,,,,,,,,,SMA America,,,,,,,,,,SB6000US (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,178,15,Fixed Array,5.074,0,0,4.67,0,0,,,,,
SD-CSI-05869,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,14377,82646.9,15.18,13.09,0.99851,13.07,Cancelled,ICF submittal past deadline.  Applicant said to cancel on 5/15. JG,,Residential,,Residential,Alpine,San Diego,CA,91901,3/26/2010,3/28/2010,3/28/2010,,,,,,,,4/19/2010,4/19/2010,,,,,,,,5/16/2011,,,Mc Wire Electric Inc.,915872,Affordable Solar Solutions,no,Yingli Energy (China),,,,,,,,,YL230P-29b,,,,,,,,,66,,,,,,,,,SMA America,,,,,,,,,,SB7000US (240V),,,,,,,,,,2,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,13.09,0,0,13.071,0,0,,,,,
SD-CSI-17818,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1030,23502.4,6,5.239,0.98327,5.151,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,9/5/2013,,10/15/2013,,,,,,,,,2/26/2014,,3/4/2014,4/11/2014,4/17/2014,,4/25/2014,,,,,Baker Electric Solar,858088,Baker Electric Solar,no,REC Solar,,,,,,,,,REC250PE-US,,,,,,,,,24,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,24,,,,,,,,,,Installed,Completed/PBI-In Payment,,,265,23,Fixed Array,5.239,0,0,5.152,0,0,,,,,
SD-CSI-13915,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1101,41644,6.54,5.756,0.9564,5.505,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,7/30/2012,,8/16/2012,,,,,,,,,8/29/2012,,11/5/2012,,1/3/2013,,1/24/2013,,,,,Solaire Energy Systems,902494,Solaire Energy Systems,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,20,,,,,,,,,SunPower,,,,,,,,,,SPR-6501f-240,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,Multiple,Multiple,Fixed Array,5.757,0,0,5.506,0,0,,,,,
SD-CSI-15666,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1620,48435,9.156,8.102,1,8.102,Withdrawn,,,Residential,,Residential,Alpine,San Diego,CA,91901,11/19/2012,,11/20/2012,,,,,,,,12/14/2012,,,,,,,,12/14/2012,,,,TMAG Industries dba Stellar Solar,749095,TMAG Industries dba Stellar Solar,no,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,28,,,,,,,,,SMA America,,,,,,,,,,SB8000US-11 (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,235,18,Fixed Array,8.102,0,0,8.102,0,0,,,,,
SD-CSI-13625,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1587,45600,9.156,8.102,0.9792,7.933,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,6/29/2012,,7/27/2012,,,,,,,,8/9/2012,8/20/2012,,11/2/2012,,11/19/2012,,12/6/2012,,,,,"Solar West Electric, Inc.",911299,Solar Alliance of America,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,28,,,,,,,,,SunPower,,,,,,,,,,SPR-8000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,230,13,Fixed Array,8.102,0,0,7.933,0,0,,,,,
SD-CSI-11142,CSE,Small Commercial (< 10 kW) and All Residential,$0.25 per Watt EPBB,EPBB,Step 9b,1628,40277,8.085,6.941,0.93813,6.512,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,12/9/2011,,12/12/2011,,,,,,,,,12/27/2011,,3/8/2012,,3/22/2012,,3/29/2012,,,,,"REC Solar, Inc.",990001,"REC Solar, Inc.",yes,Kyocera Solar,,,,,,,,,KD245GX-LPB,,,,,,,,,33,,,,,,,,,SMA America,,,,,,,,,,SB7000US (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,143,18,Fixed Array,6.941,0,0,6.512,0,0,,,,,
SD-CSI-16306,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2764,77070,15.696,13.889,0.99491,13.818,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,1/9/2013,,1/9/2013,,,,,,,,,1/30/2013,,4/8/2013,,5/10/2013,,5/17/2013,,,,,Clary Solar,924404,Clary Solar,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,48,,,,,,,,,SunPower,,,,,,,,,,SPR-7000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,180,23,Fixed Array,13.889,0,0,13.818,0,0,,,,,
SD-CSI-00374,CSE,Small Commercial (< 10 kW) and All Residential,$2.50 per Watt EPBB,EPBB,Step 2,12530,34561.91,5.94,5.111,0.98065,5.012,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,9/6/2007,9/6/2007,9/6/2007,,,,,,,,,9/6/2007,12/10/2007,12/11/2007,12/12/2007,12/17/2007,,12/27/2007,,,,,Self-Install,,Solatron Technologies,no,Mitsubishi Electric,,,,,,,,,PV-MF165EB4,,,,,,,,,36,,,,,,,,,PV Powered,,,,,,,,,,PVP5200,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,180,30,Fixed Array,5.111,0,0,5.013,0,0,,,,,
SD-CSI-13967,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1167,33992,6.867,6.045,0.96517,5.834,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,8/3/2012,,8/21/2012,,,,,,,,,8/31/2012,,3/8/2013,,4/19/2013,,4/26/2013,,,,,Baker Electric Solar,858088,Baker Electric Solar,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,21,,,,,,,,,SunPower,,,,,,,,,,SPR-6000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,Multiple,19,Fixed Array,6.045,0,0,5.834,0,0,,,,,
SD-CSI-13957,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2327,66953,13.734,12.089,0.96236,11.634,Cancelled,Cancellation requested by Host Customer,,Commercial,,Residential,Alpine,San Diego,CA,91901,7/12/2012,,8/21/2012,,,,,,,,8/30/2012,9/7/2012,,,,,,,,6/20/2013,,,Baker Electric Solar,858088,Baker Electric Solar,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,42,,,,,,,,,SunPower,,,,,,,,,,SPR-6000m (240V),,,,,,,,,,2,,,,,,,,,,Delisted,Delisted,,,265,19,Fixed Array,12.089,0,0,11.634,0,0,,,,,
SD-CSI-00724,CSE,Small Commercial (< 10 kW) and All Residential,$2.50 per Watt EPBB,EPBB,Step 2,24903,80637.66,11.78,9.971,0.999,9.961,Cancelled,"As per installer, project is being cancelled.  BA",,Residential,,Residential,Alpine,San Diego,CA,91901,12/15/2007,12/20/2007,12/31/2007,,,,,,,,,12/31/2007,,,,,,,,2/24/2009,,,"Borrego Solar Systems, Inc.",814435,"Borrego Solar Systems, Inc.",no,BP Solar,,,,,,,,,SX3190B,,,,,,,,,62,,,,,,,,,SMA America,,,,,,,,,,SB5000US (240V),,,,,,,,,,2,,,,,,,,,,Delisted,Delisted,,,,19,Fixed Array,9.971,0,0,9.961,0,0,,,,,
SD-CSI-14302,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2571,85500,15.696,13.889,0.92567,12.857,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,9/6/2012,,9/7/2012,,,,,,,,,9/24/2012,,2/12/2013,2/26/2013,3/8/2013,,3/21/2013,,,,,"Solar West Electric, Inc.",911299,Solar Alliance of America,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,48,,,,,,,,,SunPower,,,,,,,,,,SPR-7000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,180,17,Fixed Array,13.889,0,0,12.856,0,0,,,,,
SD-CSI-13944,CSE,Small Commercial (< 10 kW) and All Residential,"99.562% @ $0.20, 0.438% @ $0.00 per Watt EPBB",EPBB,"99.562% @ Step 10, 0.438% @ Unincentivized",1819,49995,10.464,9.211,0.99194,9.137,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,8/13/2012,,8/20/2012,,,,,,,,8/30/2012,9/10/2012,,3/4/2013,4/5/2013,4/10/2013,,4/22/2013,,,,,TMAG Industries dba Stellar Solar,749095,TMAG Industries dba Stellar Solar,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,32,,,,,,,,,SunPower,,,,,,,,,,SPR-10001f-240,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,190,18,Fixed Array,9.211,0,0,9.137,0,0,,,,,
SD-CSI-01332,CSE,Small Commercial (< 10 kW) and All Residential,$2.20 per Watt EPBB,EPBB,Step 3,23135,91180,12.768,10.756,0.977669201,10.516,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,7/28/2008,7/28/2008,7/29/2008,,,,,,,,7/29/2008,9/11/2008,12/30/2009,1/21/2010,,2/1/2010,,3/4/2010,,,,,REAL GOODS ENERGY TECH INC dba REAL GOODS SOLAR,840934,REAL GOODS ENERGY TECH INC dba REAL GOODS SOLAR,no,Sharp,,,,,,,,,ND-U224C1,,,,,,,,,57,,,,,,,,,SMA America,SMA America,,,,,,,,,SB6000US (240V),SB5000US (240V),,,,,,,,,1,1,,,,,,,,,Installed,Completed/PBI-In Payment,,,Multiple,23,Fixed Array,10.756,0,0,10.516,0,0,,,,,
SD-CSI-18063,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1057,35868,6.54,5.817,0.90881,5.287,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/31/2013,,11/4/2013,,,,,,,,,4/16/2014,,5/21/2014,,5/21/2014,,5/29/2014,,,,,CWD Loma Inc DBA California Premier Solar Construction,970445,CWD Loma Inc DBA California Premier Solar Construction,no,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,20,,,,,,,,,Power-One,,,,,,,,,,PVI-6000-OUTD-US-A (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,280,26,Fixed Array,5.817,0,0,5.287,0,0,,,,,
SD-CSI-18116,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1190,20400,7,6.08,0.97871,5.951,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,8/10/2013,,11/6/2013,,,,,,,,4/23/2014,4/23/2014,,4/23/2014,,5/14/2014,,5/23/2014,,,,,* Self-Install (Same as Host Customer),,REXEL/ESD,no,Yingli Energy (China),,,,,,,,,YL250P-29b,,,,,,,,,28,,,,,,,,,Power-One,,,,,,,,,,MICRO-0.25-I-OUTD-US-208,,,,,,,,,,28,,,,,,,,,,Installed,Completed/PBI-In Payment,,,180,30,Fixed Array,6.08,0,0,5.951,0,0,,,,,
SD-CSI-10484,CSE,Small Commercial (< 10 kW) and All Residential,$0.25 per Watt EPBB,EPBB,Step 9a,602,27980,2.82,2.441,0.98654,2.408,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/7/2011,,10/7/2011,,,,,,,,10/27/2011,10/28/2011,,11/18/2011,,12/2/2011,,12/13/2011,,,,,Galkos Construction Inc.,492715,Galkos Construction Inc.,no,Sharp,,,,,,,,,NU-Q235F4,,,,,,,,,12,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-SLL-S2x,,,,,,,,,,12,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,262,18,Fixed Array,2.441,0,0,2.408,0,0,,,,,
SD-CSI-02017,CSE,Small Commercial (< 10 kW) and All Residential,$1.90 per Watt EPBB,EPBB,Step 4,7456,38250,4.5,3.976,0.98703,3.924,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,12/19/2008,12/19/2008,12/22/2008,,,,,,,,,12/22/2008,,3/18/2009,,4/2/2009,,4/23/2009,,,,,Mohr Power Solar,661434,Mohr Power Solar,no,SunPower,,,,,,,,,SPR-225-BLK-U,,,,,,,,,20,,,,,,,,,SunPower,,,,,,,,,,SPR-7000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,240,27,Fixed Array,3.976,0,0,3.925,0,0,,,,,
SD-CSI-17656,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1706,44000,9.66,8.645,0.9866,8.529,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,8/26/2013,,8/29/2013,,,,,,,,,1/14/2014,,1/18/2014,,3/11/2014,,3/25/2014,,,,,Cosmic Solar Inc.,831831,Cosmic Solar Inc.,no,SunPower,,,,,,,,,SPR-X21-345,,,,,,,,,28,,,,,,,,,SunPower,,,,,,,,,,SPR-5000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,,,260,23,Fixed Array,8.645,0,0,8.529,0,0,,,,,
SD-CSI-04178,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,1550,25712,1.728,1.409,1,1.409,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/13/2009,10/14/2009,10/14/2009,,,,,,,,,11/2/2009,11/11/2009,11/16/2009,11/23/2009,12/9/2009,,1/27/2010,,,,,"Sungate Energy Solutions, Inc.",790709,"Sungate Energy Solutions, Inc.",no,Sharp,,,,,,,,,ND-216UC1,,,,,,,,,8,,,,,,,,,PV Powered,,,,,,,,,,PVP2000,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,182,15,Fixed Array,1.409,0,0,1.409,0,0,,,,,
SD-CSI-20381,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,794,29500,5,4.375,0.90775,3.971,Confirmed Reservation,,,Commercial,,Residential,Alpine,San Diego,CA,91901,1/24/2014,,1/27/2014,,,,,,,,,12/17/2014,,,,,,,,,,,American Solar Direct,941069,American Solar Direct,yes,Renesola America,,,,,,,,,JC250M-24/Bx,,,,,,,,,20,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,20,,,,,,,,,,Pending,Active,,,Multiple,24,Fixed Array,4.376,0,0,3.972,0,0,,,,,
SD-CSI-18958,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,435,13000,2.5,2.195,0.99171,2.177,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,11/30/2013,,12/4/2013,,,,,,,,,7/29/2014,,8/6/2014,,8/14/2014,,8/20/2014,,,,,Rancho Solar Inc,926946,Rancho Solar Inc,no,Trina Solar,,,,,,,,,TSM-250PA05,,,,,,,,,10,,,,,,,,,SMA America,,,,,,,,,,SB2500HFUS-30 (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,270,18,Fixed Array,2.195,0,0,2.177,0,0,,,,,
SD-CSI-13889,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,514,17850,3.27,2.878,0.89269,2.569,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,8/13/2012,,8/15/2012,,,,,,,,,8/27/2012,,12/18/2012,,2/5/2013,,2/15/2013,,,,,"Solar West Electric, Inc.",911299,Solar Alliance of America,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,10,,,,,,,,,SunPower,,,,,,,,,,SPR-3000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,252,10,Fixed Array,2.878,0,0,2.569,0,0,,,,,
SD-CSI-18867,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2426,55555,13.734,12.152,0.99831,12.131,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,12/3/2013,,12/3/2013,,,,,,,,,7/18/2014,,7/29/2014,8/18/2014,8/19/2014,,8/29/2014,,,,,Home Energy Systems,800657,Home Energy Systems,no,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,42,,,,,,,,,SunPower,,,,,,,,,,SPR-7000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,210,23,Fixed Array,12.152,0,0,12.132,0,0,,,,,
SD-CSI-14062,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,563,17200,3.27,2.878,0.97828,2.815,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,7/13/2012,,8/27/2012,,,,,,,,,9/12/2012,,10/3/2012,,10/24/2012,,10/31/2012,,,,,"Solar West Electric, Inc.",911299,Solar Alliance of America,yes,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,10,,,,,,,,,SunPower,,,,,,,,,,SPR-3000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,186,21,Fixed Array,2.878,0,0,2.816,0,0,,,,,
SD-CSI-18761,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1842,54785,10.464,9.211,0.99978,9.209,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,11/19/2013,,12/2/2013,,,,,,,,7/3/2014,7/10/2014,,7/14/2014,,7/31/2014,,8/12/2014,,,,,SUNCRAFT SOLAR INC,937984,SUNCRAFT SOLAR INC,no,SunPower,,,,,,,,,SPR-327NE-WHT-D,,,,,,,,,32,,,,,,,,,SunPower,,,,,,,,,,SPR-10000f-240,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,180,18,Fixed Array,9.211,0,0,9.209,0,0,,,,,
SD-CSI-17972,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,791,24520,4.59,3.956,0.99951,3.954,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/30/2013,,10/30/2013,,,,,,,,,4/2/2014,,4/3/2014,5/6/2014,5/6/2014,,5/20/2014,,,,,"Solare Energy, Inc.",941109,"Solare Energy, Inc.",no,SolarWorld,,,,,,,,,SW 270 Mono,,,,,,,,,17,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,17,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,210,17,Fixed Array,3.956,0,0,3.954,0,0,,,,,
SD-CSI-13838,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1774,47558,10.29,8.882,0.99867,8.87,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,8/2/2012,,8/13/2012,,,,,,,,8/23/2012,8/23/2012,,9/11/2012,,9/25/2012,,10/4/2012,,,,,Clary Solar,924404,Clary Solar,no,Schuco USA,,,,,,,,,MPE 245 PS 08,,,,,,,,,42,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,42,,,,,,,,,,Installed,Completed/PBI-In Payment,,,240,13,Fixed Array,8.882,0,0,8.871,0,0,,,,,
SD-CSI-19788,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,487,14400,3,2.621,0.92827,2.433,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,1/2/2014,,1/2/2014,,,,,,,,,9/22/2014,,9/30/2014,,10/22/2014,,11/5/2014,,,,,SolarCity,888104,SolarCity,yes,Trina Solar,,,,,,,,,TSM-250PA05.18,,,,,,,,,12,,,,,,,,,Power-One,,,,,,,,,,PVI-3.0-OUTD-S-US-A (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,SolarCity,,130,18,Fixed Array,2.621,0,0,2.433,0,0,,,,,
SD-CSI-20370,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,890,24255,5.415,4.784,0.92995,4.449,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,1/22/2014,,1/25/2014,,,,,,,,,12/16/2014,,4/10/2015,,4/16/2015,,4/24/2015,,,,,Baker Electric Solar,858088,Baker Electric Solar,no,LG Electronics Solar Cell Division,,,,,,,,,LG285N1C-G3,,,,,,,,,19,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,19,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,190,18,Fixed Array,4.784,0,0,4.449,0,0,,,,,
SD-CSI-19873,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2044,59596,12.19,10.43,0.97986,10.22,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,12/17/2013,,1/6/2014,,,,,,,,,9/26/2014,,9/30/2014,12/17/2014,12/18/2014,,1/15/2015,,,,,Independent Energy Solutions Inc.,805159,Independent Energy Solutions Inc.,no,SolarWorld,,,,,,,,,SW265 Mono,,,,,,,,,46,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,46,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,Multiple,Multiple,Fixed Array,10.431,0,0,10.22,0,0,,,,,
SD-CSI-20532,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1242,31103,7.14,6.212,0.99968,6.21,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,1/15/2014,,1/30/2014,,,,,,,,,1/26/2015,,2/14/2015,,4/3/2015,,4/15/2015,,,,,Green America Construction,954862,Green America Construction,no,LG Electronics Solar Cell Division,,,,,,,,,LG255S1C-A3,,,,,,,,,28,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,28,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,180,15,Fixed Array,6.212,0,0,6.21,0,0,,,,,
SD-CSI-13355,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,2024,19704,11.7,10.13,0.99922,10.122,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,6/29/2012,,7/9/2012,,,,,,,,7/24/2012,8/6/2012,,1/30/2013,2/19/2013,2/21/2013,,3/13/2013,,,,,BUILT GREEN CALIFORNIA INC,955192,BUILT GREEN CALIFORNIA INC,yes,Phono Solar Technology,,,,,,,,,PS225P-20/U,,,,,,,,,52,,,,,,,,,SMA America,,,,,,,,,,SB5000US (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,"Locus Energy, LLC",,234,15,Fixed Array,10.131,0,0,10.123,0,0,,,,,
SD-CSI-20863,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1563,35955,9.36,8.149,0.95901,7.815,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,1/28/2014,,2/11/2014,,,,,,,,,2/12/2015,,3/3/2015,,4/14/2015,,4/24/2015,,,,,Green America Construction,954862,Green America Construction,no,LG Electronics Solar Cell Division,,,,,,,,,LG260S1C-A3,,,,,,,,,36,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,36,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,150,25,Fixed Array,8.149,0,0,7.815,0,0,,,,,
