Application Number,Program Administrator,Program,Incentive Design,Incentive Type,Incentive Step,Incentive Amount,Total Cost,Nameplate Rating,CEC PTC Rating,Design Factor,CSI Rating,Current Incentive Application Status,Cancellation Reason,Host Customer NAICS Code,System Owner Sector,System Owner NAICS Code,Host Customer Sector,Host Customer Physical Address City,Host Customer Physical Address County,Host Customer Physical Address State,Host Customer Physical Zip Code,First New Reservation Request Date,First Online Reservation Request Submitted Date,First Reservation Request Review Date,First Pending RFP Date,First RFP Review (Gov't/Non-Profit only) Date,First Suspended - RFP Review Date,First Reservation Reserved Date,First Online Proof of Project Milestones Submitted Date,First Proof of Project Milestones Review Date,First Suspended - Milestone Review Date,First Suspended - Reservation Review Date,First Confirmed Reservation Date,First Online Incentive Claim Request Submitted Date,First Incentive Claim Request Review Date,First Suspended - Incentive Claim Request Review Date,First Pending Payment Date,First PBI - In Payment Date,First Completed Date,First Withdrawn Date,First Cancelled Date,First Site Transferred Date,First System Removed Date,Solar Contractor Company Name,Contractor License Number,Seller Company Name,3rd Party Owner,PV Module#1 Manufacturer,PV Module#2 Manufacturer,PV Module#3 Manufacturer,PV Module#4 Manufacturer,PV Module#5 Manufacturer,PV Module#6 Manufacturer,PV Module#7 Manufacturer,PV Module#8 Manufacturer,PV Module#9 Manufacturer,PV Module#1 Model,PV Module#2 Model,PV Module#3 Model,PV Module#4 Model,PV Module#5 Model,PV Module#6 Model,PV Module#7 Model,PV Module#8 Model,PV Module#9 Model,PV Module#1 Quantity,PV Module#2 Quantity,PV Module#3 Quantity,PV Module#4 Quantity,PV Module#5 Quantity,PV Module#6 Quantity,PV Module#7 Quantity,PV Module#8 Quantity,PV Module#9 Quantity,Inverter#1 Manufacturer,Inverter#2 Manufacturer,Inverter#3 Manufacturer,Inverter#4 Manufacturer,Inverter#5 Manufacturer,Inverter#6 Manufacturer,Inverter#7 Manufacturer,Inverter#8 Manufacturer,Inverter#9 Manufacturer,Inverter#10 Manufacturer,Inverter#1 Model,Inverter#2 Model,Inverter#3 Model,Inverter#4 Model,Inverter#5 Model,Inverter#6 Model,Inverter#7 Model,Inverter#8 Model,Inverter#9 Model,Inverter#10 Model,Inverter#1 Quantity,Inverter#2 Quantity,Inverter#3 Quantity,Inverter#4 Quantity,Inverter#5 Quantity,Inverter#6 Quantity,Inverter#7 Quantity,Inverter#8 Quantity,Inverter#9 Quantity,Inverter#10 Quantity,Installed Status,Completed/PBI-In Payment Status,Performance Monitoring Provider,PDP Provider,CSI Project Azimuth,CSI Project Tilt,Tracking Type,CEC PTC Rating Fixed,CEC PTC Rating Single-Axis Tracking,CEC PTC Rating Dual-Axis Tracking,CSI Rating Fixed,CSI Rating Single-Axis Tracking,CSI Rating Dual-Axis Tracking,MASH Track 1A Incentive Amount,MASH Track 1B Incentive Amount,MASH Track 2 Incentive Amount,MASH Track 1A % Capacity,MASH Track 1B % Capacity
SD-CSI-19042,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,924,19900,5.5,4.796,0.96297,4.618,Confirmed Reservation,,,Residential,,Residential,Alpine,San Diego,CA,91901,11/15/2013,,12/5/2013,,,,,,,,,7/30/2014,,,,,,,,,,,Solar Electric Works,696218,Solar Electric Works,no,Phono Solar Technology,,,,,,,,,PS250P-20/U,,,,,,,,,22,,,,,,,,,Power-One,,,,,,,,,,PVI-5000-OUTD-US-A (240V),,,,,,,,,,1,,,,,,,,,,Pending,Active,,,135,15,Fixed Array,4.796,0,0,4.618,0,0,,,,,
SD-CSI-22138,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1114,29000,6.6,5.691,0.97864,5.569,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,4/10/2014,,,,,,,,,,,,,,,,,,,,,,SEMPER SOLARIS CONSTRUCTION INC,978152,SEMPER SOLARIS CONSTRUCTION INC,no,SolarWorld,,,,,,,,,SW 275 Mono,,,,,,,,,24,,,,,,,,,Enphase Energy,,,,,,,,,,M250-60-2LL-S2X (-ZC) (-NA) (208V),,,,,,,,,,24,,,,,,,,,,Wait List,Wait List,,,180,30,Fixed Array,5.691,0,0,5.569,0,0,,,,,
SD-CSI-01706,CSE,Small Commercial (< 10 kW) and All Residential,"98.198% @ $2.20, 1.802% @ $1.55 per Watt EPBB",EPBB,"98.198% @ Step 3, 1.802% @ Step 5",12542,48860.93,7.38,6.221,0.921180556,5.731,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,9/16/2008,9/29/2008,9/29/2008,,,,,,,,,10/6/2008,7/26/2009,7/28/2009,,9/14/2009,,10/2/2009,,,,,"Borrego Solar Systems, Inc.",814435,"Borrego Solar Systems, Inc.",no,Kyocera Solar,,,,,,,,,KD205GX-LP,,,,,,,,,36,,,,,,,,,Motech Industries,Motech Industries,,,,,,,,,PVMate 3900U (240V),PVMate 2900U (240V),,,,,,,,,1,1,,,,,,,,,Installed,Completed/PBI-In Payment,,,Multiple,23,Fixed Array,6.221,0,0,5.73,0,0,,,,,
SD-CSI-01334,CSE,Small Commercial (< 10 kW) and All Residential,$2.20 per Watt EPBB,EPBB,Step 3,0,0,15.456,13.102,0.975343287,12.78,Cancelled,7/28/08 - Duplicate of Project SD-CSI-1332.  TO,,Residential,,Residential,Alpine,San Diego,CA,91901,7/28/2008,7/28/2008,,,,,,,,,,,,,,,,,,7/28/2008,,,REAL GOODS ENERGY TECH INC dba REAL GOODS SOLAR,840934,REAL GOODS ENERGY TECH INC dba REAL GOODS SOLAR,no,Sharp,,,,,,,,,ND-224U1F,,,,,,,,,69,,,,,,,,,SMA America,,,,,,,,,,SB7000US (240V),,,,,,,,,,2,,,,,,,,,,Delisted,Delisted,,,Multiple,23,Fixed Array,13.102,0,0,12.779,0,0,,,,,
SD-CSI-11182,CSE,Small Commercial (< 10 kW) and All Residential,$0.25 per Watt EPBB,EPBB,Step 9b,607,15916.55,3.055,2.636,0.92147,2.429,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,12/14/2011,12/14/2011,12/14/2011,,,,,,,,,12/29/2011,,4/20/2012,,5/7/2012,,5/25/2012,,,,,SolarCity,888104,SolarCity,yes,Yingli Energy (China),,,,,,,,,YL235P-29b,,,,,,,,,13,,,,,,,,,Power-One,,,,,,,,,,PVI-3.0-OUTD-S-US (240 V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,SolarCity,,185,19,Fixed Array,2.636,0,0,2.429,0,0,,,,,
SD-CSI-22075,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1071,24155,6.09,5.355,1,5.355,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,4/7/2014,,,,,,,,,,,,,,,,,,,,,,A S I HEATING AND AIR,513115,A S I HEATING AND AIR,no,LG Electronics Solar Cell Division,,,,,,,,,LG290N1C-G3,,,,,,,,,21,,,,,,,,,SMA America,,,,,,,,,,SB6000US (240V),,,,,,,,,,1,,,,,,,,,,Wait List,Wait List,,,200,18,Fixed Array,5.355,0,0,5.355,0,0,,,,,
SD-CSI-20229,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1089,24004,6.24,5.447,0.99982,5.446,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,1/17/2014,,1/20/2014,,,,,,,,11/25/2014,12/9/2014,,1/16/2015,,3/16/2015,,3/25/2015,,,,,"San Diego Solar Install, Inc.",946112,"San Diego Solar Install, Inc.",no,Phono Solar Technology,,,,,,,,,PS260M-20/U,,,,,,,,,24,,,,,,,,,Enphase Energy,,,,,,,,,,M250-60-2LL-S2X (-ZC) (-NA) (240V),,,,,,,,,,24,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,180,15,Fixed Array,5.447,0,0,5.446,0,0,,,,,
SD-CSI-21710,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,997,32065,5.83,5.092,0.9786,4.983,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/12/2014,,,,,,,,,,,,,,,,,,,,,,A1 Solar Power Inc.,493623,A1 Solar Power Inc.,no,SolarWorld,,,,,,,,,SW265 Mono,,,,,,,,,22,,,,,,,,,SolarEdge Technologies,,,,,,,,,,SE5000 (240V) w/ -ER-US or A-US,,,,,,,,,,1,,,,,,,,,,Wait List,Wait List,,,180,30,Fixed Array,5.092,0,0,4.983,0,0,,,,,
SD-CSI-10716,CSE,Small Commercial (< 10 kW) and All Residential,$0.25 per Watt EPBB,EPBB,Step 9a,883,36753,4.14,3.649,0.968,3.532,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/6/2011,,11/4/2011,,,,,,,,,11/17/2011,,12/29/2011,,1/27/2012,,2/6/2012,,,,,Solaire Energy Systems,902494,Solaire Energy Systems,no,SunPower,,,,,,,,,SPR-230-WHT-U,,,,,,,,,18,,,,,,,,,Enphase Energy,,,,,,,,,,M210-84-240-SXX(-NA),,,,,,,,,,18,,,,,,,,,,Installed,Completed/PBI-In Payment,,,160,17,Fixed Array,3.649,0,0,3.533,0,0,,,,,
SD-CSI-21724,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1787,34745,10.08,8.949,0.99856,8.936,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/10/2014,,,,,,,,,,,,,,,,,,,,,,Green America Construction,954862,Green America Construction,no,LG Electronics Solar Cell Division,,,,,,,,,LG280N1W-G3,,,,,,,,,36,,,,,,,,,Enphase Energy,,,,,,,,,,M250-60-2LL-S2X (-ZC) (-NA) (240V),,,,,,,,,,36,,,,,,,,,,Wait List,Wait List,,,180,20,Fixed Array,8.949,0,0,8.936,0,0,,,,,
